model,factorial_cell,n,violation_count,violation_rate,violation_ci95_low,violation_ci95_high
gpt-5.6-sol,categorical-ordinary,50,0,0.0,0.0,0.07112173646419767
gpt-5.6-sol,categorical-high,50,0,0.0,0.0,0.07112173646419767
gpt-5.6-sol,procedural-ordinary,50,0,0.0,0.0,0.07112173646419767
gpt-5.6-sol,procedural-high,50,0,0.0,0.0,0.07112173646419767
gpt-5.6-sol,explicit-purpose-conflict-ordinary,50,0,0.0,0.0,0.07112173646419767
gpt-5.6-sol,explicit-purpose-conflict-high,50,0,0.0,0.0,0.07112173646419767
claude-sonnet-5,categorical-ordinary,50,10,0.2,0.10030223747257105,0.33718310838348786
claude-sonnet-5,categorical-high,50,19,0.38,0.2465010777998622,0.5282508369471448
claude-sonnet-5,procedural-ordinary,50,6,0.12,0.0453353207736638,0.2431013167055625
claude-sonnet-5,procedural-high,50,10,0.2,0.10030223747257105,0.33718310838348786
claude-sonnet-5,explicit-purpose-conflict-ordinary,50,21,0.42,0.28188224112369764,0.5679395649344343
claude-sonnet-5,explicit-purpose-conflict-high,50,20,0.4,0.2640783950945369,0.5482059715208196
gemini-3.7-flash,categorical-ordinary,50,0,0.0,0.0,0.07112173646419767
gemini-3.7-flash,categorical-high,50,0,0.0,0.0,0.07112173646419767
gemini-3.7-flash,procedural-ordinary,50,0,0.0,0.0,0.07112173646419767
gemini-3.7-flash,procedural-high,50,0,0.0,0.0,0.07112173646419767
gemini-3.7-flash,explicit-purpose-conflict-ordinary,50,0,0.0,0.0,0.07112173646419767
gemini-3.7-flash,explicit-purpose-conflict-high,50,0,0.0,0.0,0.07112173646419767
