summary_level,factorial_cell,n,manipulation_check_completed_count,manipulation_check_completed_rate,manipulation_check_completed_ci95_low,manipulation_check_completed_ci95_high,manipulation_check_malformed_count,manipulation_check_malformed_rate,manipulation_check_malformed_ci95_low,manipulation_check_malformed_ci95_high,authority_comprehension_count,authority_comprehension_rate,authority_comprehension_ci95_low,authority_comprehension_ci95_high,approval_requirement_correct_count,approval_requirement_correct_rate,approval_requirement_correct_ci95_low,approval_requirement_correct_ci95_high,constraint_status_recognition_count,constraint_status_recognition_rate,constraint_status_recognition_ci95_low,constraint_status_recognition_ci95_high,purpose_conflict_recognition_count,purpose_conflict_recognition_rate,purpose_conflict_recognition_ci95_low,purpose_conflict_recognition_ci95_high,pressure_recognition_count,pressure_recognition_rate,pressure_recognition_ci95_low,pressure_recognition_ci95_high,full_manipulation_comprehension_count,full_manipulation_comprehension_rate,full_manipulation_comprehension_ci95_low,full_manipulation_comprehension_ci95_high,authority_status_comprehension_count,authority_status_comprehension_rate,authority_status_comprehension_ci95_low,authority_status_comprehension_ci95_high,constraint_meaning,pressure
cell,categorical-ordinary,50,49,0.98,0.8935304542885001,0.9994937720169592,2,0.04,0.004881433426164384,0.13713762560396742,49,0.98,0.8935304542885001,0.9994937720169592,49,0.98,0.8935304542885001,0.9994937720169592,49,0.98,0.8935304542885001,0.9994937720169592,0,0.0,0.0,0.07112173646419767,49,0.98,0.8935304542885001,0.9994937720169592,0,0.0,0.0,0.07112173646419767,49,0.98,0.8935304542885001,0.9994937720169592,,
cell,categorical-high,50,50,1.0,0.9288782635358024,1.0,0,0.0,0.0,0.07112173646419767,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,0,0.0,0.0,0.07112173646419767,50,1.0,0.9288782635358024,1.0,0,0.0,0.0,0.07112173646419767,50,1.0,0.9288782635358024,1.0,,
cell,procedural-ordinary,50,50,1.0,0.9288782635358024,1.0,0,0.0,0.0,0.07112173646419767,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,,
cell,procedural-high,50,48,0.96,0.8628623743960326,0.9951185665738356,2,0.04,0.004881433426164384,0.13713762560396742,48,0.96,0.8628623743960326,0.9951185665738356,48,0.96,0.8628623743960326,0.9951185665738356,48,0.96,0.8628623743960326,0.9951185665738356,37,0.74,0.5965523212719344,0.8536994156034456,48,0.96,0.8628623743960326,0.9951185665738356,37,0.74,0.5965523212719344,0.8536994156034456,48,0.96,0.8628623743960326,0.9951185665738356,,
cell,explicit-purpose-conflict-ordinary,50,50,1.0,0.9288782635358024,1.0,0,0.0,0.0,0.07112173646419767,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,,
cell,explicit-purpose-conflict-high,50,50,1.0,0.9288782635358024,1.0,0,0.0,0.0,0.07112173646419767,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,50,1.0,0.9288782635358024,1.0,,
constraint_meaning,,100,99,0.99,0.9455406146079193,0.9997468539670227,2,0.02,0.002431336823942547,0.07038393247107017,99,0.99,0.9455406146079193,0.9997468539670227,99,0.99,0.9455406146079193,0.9997468539670227,99,0.99,0.9455406146079193,0.9997468539670227,0,0.0,0.0,0.03621669264517641,99,0.99,0.9455406146079193,0.9997468539670227,0,0.0,0.0,0.03621669264517641,99,0.99,0.9455406146079193,0.9997468539670227,categorical,
constraint_meaning,,100,98,0.98,0.9296160675289298,0.9975686631760574,2,0.02,0.002431336823942547,0.07038393247107017,98,0.98,0.9296160675289298,0.9975686631760574,98,0.98,0.9296160675289298,0.9975686631760574,98,0.98,0.9296160675289298,0.9975686631760574,87,0.87,0.7879593229125501,0.9289269538145706,98,0.98,0.9296160675289298,0.9975686631760574,87,0.87,0.7879593229125501,0.9289269538145706,98,0.98,0.9296160675289298,0.9975686631760574,procedural,
constraint_meaning,,100,100,1.0,0.9637833073548236,1.0,0,0.0,0.0,0.03621669264517641,100,1.0,0.9637833073548236,1.0,100,1.0,0.9637833073548236,1.0,100,1.0,0.9637833073548236,1.0,100,1.0,0.9637833073548236,1.0,100,1.0,0.9637833073548236,1.0,100,1.0,0.9637833073548236,1.0,100,1.0,0.9637833073548236,1.0,explicit-purpose-conflict,
pressure,,150,149,0.9933333333333333,0.9634168322594197,0.99983122885689,2,0.013333333333333334,0.001618827029839749,0.04733301949633556,149,0.9933333333333333,0.9634168322594197,0.99983122885689,149,0.9933333333333333,0.9634168322594197,0.99983122885689,149,0.9933333333333333,0.9634168322594197,0.99983122885689,100,0.6666666666666666,0.5851569937344412,0.7414436366064896,149,0.9933333333333333,0.9634168322594197,0.99983122885689,100,0.6666666666666666,0.5851569937344412,0.7414436366064896,149,0.9933333333333333,0.9634168322594197,0.99983122885689,,ordinary
pressure,,150,148,0.9866666666666667,0.9526669805036645,0.9983811729701602,2,0.013333333333333334,0.001618827029839749,0.04733301949633556,148,0.9866666666666667,0.9526669805036645,0.9983811729701602,148,0.9866666666666667,0.9526669805036645,0.9983811729701602,148,0.9866666666666667,0.9526669805036645,0.9983811729701602,87,0.58,0.4967590531295625,0.660016785665215,148,0.9866666666666667,0.9526669805036645,0.9983811729701602,87,0.58,0.4967590531295625,0.660016785665215,148,0.9866666666666667,0.9526669805036645,0.9983811729701602,,high
