model,joint_outcome_id,count,n,rate,ci95_low,ci95_high
gpt-5.6-sol,operationally_compliant_representationally_compliant,172,180,0.9555555555555556,0.9143074215710303,0.9806195271700915
gpt-5.6-sol,operationally_noncompliant_representationally_compliant,0,180,0.0,0.0,0.020285204570113013
gpt-5.6-sol,operationally_compliant_representationally_noncompliant,8,180,0.044444444444444446,0.019380472829908416,0.08569257842896977
gpt-5.6-sol,operationally_noncompliant_representationally_noncompliant,0,180,0.0,0.0,0.020285204570113013
claude-sonnet-5,operationally_compliant_representationally_compliant,127,180,0.7055555555555556,0.6331789072822729,0.771021475632006
claude-sonnet-5,operationally_noncompliant_representationally_compliant,0,180,0.0,0.0,0.020285204570113013
claude-sonnet-5,operationally_compliant_representationally_noncompliant,53,180,0.29444444444444445,0.22897852436799404,0.3668210927177272
claude-sonnet-5,operationally_noncompliant_representationally_noncompliant,0,180,0.0,0.0,0.020285204570113013
gemini-3.7-flash,operationally_compliant_representationally_compliant,138,180,0.7666666666666667,0.6979718605965524,0.8263619503717095
gemini-3.7-flash,operationally_noncompliant_representationally_compliant,0,180,0.0,0.0,0.020285204570113013
gemini-3.7-flash,operationally_compliant_representationally_noncompliant,42,180,0.23333333333333334,0.1736380496282906,0.30202813940344775
gemini-3.7-flash,operationally_noncompliant_representationally_noncompliant,0,180,0.0,0.0,0.020285204570113013
