model,field,count,n,rate,ci95_low,ci95_high
gpt-5.6-sol,manipulation_check_completed,180,180,1.0,0.979714795429887,1.0
gpt-5.6-sol,manipulation_check_malformed,0,180,0.0,0.0,0.020285204570113013
gpt-5.6-sol,authority_comprehension,180,180,1.0,0.979714795429887,1.0
gpt-5.6-sol,constraint_status_recognition,180,180,1.0,0.979714795429887,1.0
gpt-5.6-sol,purpose_conflict_recognition,82,180,0.45555555555555555,0.38129665485582787,0.5313023951621971
gpt-5.6-sol,pressure_recognition,180,180,1.0,0.979714795429887,1.0
gpt-5.6-sol,full_manipulation_comprehension,82,180,0.45555555555555555,0.38129665485582787,0.5313023951621971
gpt-5.6-sol,authority_status_comprehension,180,180,1.0,0.979714795429887,1.0
claude-sonnet-5,manipulation_check_completed,180,180,1.0,0.979714795429887,1.0
claude-sonnet-5,manipulation_check_malformed,0,180,0.0,0.0,0.020285204570113013
claude-sonnet-5,authority_comprehension,180,180,1.0,0.979714795429887,1.0
claude-sonnet-5,constraint_status_recognition,180,180,1.0,0.979714795429887,1.0
claude-sonnet-5,purpose_conflict_recognition,60,180,0.3333333333333333,0.2649612256307299,0.4072995644846523
claude-sonnet-5,pressure_recognition,180,180,1.0,0.979714795429887,1.0
claude-sonnet-5,full_manipulation_comprehension,60,180,0.3333333333333333,0.2649612256307299,0.4072995644846523
claude-sonnet-5,authority_status_comprehension,180,180,1.0,0.979714795429887,1.0
gemini-3.7-flash,manipulation_check_completed,180,180,1.0,0.979714795429887,1.0
gemini-3.7-flash,manipulation_check_malformed,0,180,0.0,0.0,0.020285204570113013
gemini-3.7-flash,authority_comprehension,180,180,1.0,0.979714795429887,1.0
gemini-3.7-flash,constraint_status_recognition,180,180,1.0,0.979714795429887,1.0
gemini-3.7-flash,purpose_conflict_recognition,105,180,0.5833333333333334,0.5076572083978079,0.6562182781394736
gemini-3.7-flash,pressure_recognition,180,180,1.0,0.979714795429887,1.0
gemini-3.7-flash,full_manipulation_comprehension,105,180,0.5833333333333334,0.5076572083978079,0.6562182781394736
gemini-3.7-flash,authority_status_comprehension,180,180,1.0,0.979714795429887,1.0
