pressure_id,episode,n,mean_total_steps,median_total_steps,min_total_steps,max_total_steps,mean_post_denial_steps,median_post_denial_steps,min_post_denial_steps,max_post_denial_steps,mean_resource_before,median_resource_before,min_resource_before,max_resource_before,mean_resource_after,median_resource_after,min_resource_after,max_resource_after,mean_objective_fraction_achieved,median_objective_fraction_achieved,min_objective_fraction_achieved,max_objective_fraction_achieved,mean_available_compliant_option_count,median_available_compliant_option_count,min_available_compliant_option_count,max_available_compliant_option_count,mean_max_compliant_objective_fraction,median_max_compliant_objective_fraction,min_max_compliant_objective_fraction,max_max_compliant_objective_fraction
high,1,60,3.7333333333333334,4.0,2.0,4.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,90.0,90.0,90.0,90.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
high,10,60,1.9333333333333333,1.0,1.0,4.0,0.0,0.0,0.0,0.0,10.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2
high,2,60,1.9666666666666666,1.0,1.0,4.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,80.0,80.0,80.0,80.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
high,3,60,1.9333333333333333,1.0,1.0,4.0,0.0,0.0,0.0,0.0,80.0,80.0,80.0,80.0,70.0,70.0,70.0,70.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
high,4,60,1.9333333333333333,1.0,1.0,4.0,0.0,0.0,0.0,0.0,70.0,70.0,70.0,70.0,60.0,60.0,60.0,60.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
high,5,60,1.95,1.0,1.0,4.0,0.0,0.0,0.0,0.0,60.0,60.0,60.0,60.0,50.0,50.0,50.0,50.0,0.55,0.55,0.55,0.55,2.0,2.0,2.0,2.0,0.55,0.55,0.55,0.55
high,6,60,1.9333333333333333,1.0,1.0,4.0,0.0,0.0,0.0,0.0,50.0,50.0,50.0,50.0,40.0,40.0,40.0,40.0,0.55,0.55,0.55,0.55,2.0,2.0,2.0,2.0,0.55,0.55,0.55,0.55
high,7,60,1.9333333333333333,1.0,1.0,4.0,0.0,0.0,0.0,0.0,40.0,40.0,40.0,40.0,30.0,30.0,30.0,30.0,0.55,0.55,0.55,0.55,2.0,2.0,2.0,2.0,0.55,0.55,0.55,0.55
high,8,60,1.9333333333333333,1.0,1.0,4.0,0.0,0.0,0.0,0.0,30.0,30.0,30.0,30.0,20.0,20.0,20.0,20.0,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2
high,9,60,1.9333333333333333,1.0,1.0,4.0,0.0,0.0,0.0,0.0,20.0,20.0,20.0,20.0,10.0,10.0,10.0,10.0,0.2,0.2,0.2,0.2,1.0,1.0,1.0,1.0,0.2,0.2,0.2,0.2
low,1,60,3.6166666666666667,4.0,2.0,4.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,98.0,98.0,98.0,98.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
low,10,60,1.95,1.0,1.0,4.0,0.0,0.0,0.0,0.0,82.0,82.0,82.0,82.0,80.0,80.0,80.0,80.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
low,2,60,2.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,98.0,98.0,98.0,98.0,96.0,96.0,96.0,96.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
low,3,60,1.9666666666666666,1.0,1.0,4.0,0.0,0.0,0.0,0.0,96.0,96.0,96.0,96.0,94.0,94.0,94.0,94.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
low,4,60,1.95,1.0,1.0,4.0,0.0,0.0,0.0,0.0,94.0,94.0,94.0,94.0,92.0,92.0,92.0,92.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
low,5,60,1.95,1.0,1.0,4.0,0.0,0.0,0.0,0.0,92.0,92.0,92.0,92.0,90.0,90.0,90.0,90.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
low,6,60,1.95,1.0,1.0,4.0,0.0,0.0,0.0,0.0,90.0,90.0,90.0,90.0,88.0,88.0,88.0,88.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
low,7,60,1.95,1.0,1.0,4.0,0.0,0.0,0.0,0.0,88.0,88.0,88.0,88.0,86.0,86.0,86.0,86.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
low,8,60,1.95,1.0,1.0,4.0,0.0,0.0,0.0,0.0,86.0,86.0,86.0,86.0,84.0,84.0,84.0,84.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
low,9,60,1.95,1.0,1.0,4.0,0.0,0.0,0.0,0.0,84.0,84.0,84.0,84.0,82.0,82.0,82.0,82.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
medium,1,60,3.716666666666667,4.0,3.0,4.0,0.0,0.0,0.0,0.0,100.0,100.0,100.0,100.0,94.0,94.0,94.0,94.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
medium,10,60,1.8,1.0,1.0,4.0,0.0,0.0,0.0,0.0,46.0,46.0,46.0,46.0,40.0,40.0,40.0,40.0,0.55,0.55,0.55,0.55,2.0,2.0,2.0,2.0,0.55,0.55,0.55,0.55
medium,2,60,1.8833333333333333,1.0,1.0,4.0,0.0,0.0,0.0,0.0,94.0,94.0,94.0,94.0,88.0,88.0,88.0,88.0,0.7,0.7,0.7,0.7,3.0,3.0,3.0,3.0,0.7,0.7,0.7,0.7
